Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
9/29/21,55.02,-100,2.5,52.5,100,200,72.13,55.02,4359.46
9/22/21,77.7,0,52.25,82.625,100,200,47.37,77.7,4354.19
9/15/21,87.02,0,60,100,100,200,47.86,87.02,4480.7
9/8/21,84.68,20,45,100,100,200,43.85,84.68,4520.03
9/1/21,93.95,25,81.3125,100,100,200,39.24,93.95,4524.09
8/25/21,92.83,20,80,100,100,200,37.95,92.83,4486.23
8/18/21,70.57,-50,35,90,100,200,58.22,70.57,4400.27
8/11/21,97.55,25,80,100,102.6875,200,38.54,97.55,4447.7
8/4/21,97.72,25,85,100,105.375,200,41.16,97.72,4402.66
7/28/21,78.39,-50,72.75,92.5,100,150,43.07,78.39,4400.64
7/21/21,71.04,0,50,77,100,200,48.75,71.04,4358.69
7/14/21,93.27,25,76.25,90,100,200,37.85,93.27,4374.3
7/7/21,82.54,0,52.5,87.875,100,200,42.66,82.54,4358.13
6/30/21,91.72,0,80.375,100,100,200,38.18,91.72,4297.5
6/23/21,70.86,-50,57.5,80.375,100,130,42.79,70.86,4246.44
6/16/21,98.52,50,80,100,103.88,200,34.16,98.52,4223.7
6/9/21,79.65,0,60,100,100,150,38.92,79.65,4219.55
6/2/21,82.27,0,60,100,100,150,35.83,82.27,4208.12
5/26/21,68.3,0,55,80,99.5,100,35.12,68.3,4195.99
5/19/21,44.21,0,6.25,45,71.25,110.75,35.25,44.21,4115.68
5/12/21,46.86,-50,0,50,82.5,106.25,44.2,46.86,4063.04
5/5/21,87.79,0,66.375,100,100,200,50,87.79,4167.59
4/28/21,103.72,0,85.375,100,105,200,43.65,103.72,4183.18
4/21/21,95.6,0,80.25,99,100,200,39.06,95.6,4173.42
4/14/21,96.57,0,80,100,100,200,39.59,96.57,4124.66
4/7/21,89.85,50,66,80,100,200,35.16,89.95,4079.95
3/31/21,52.02,0,0,80,100,100,47.49,52.02,3972.89
3/24/21,57.52,0,5,75,90,119.75,42.24,57.52,3889.14
3/17/21,78.55,0,80,95,100,100,33.98,78.55,3974.12
3/10/21,48.62,-100,0,75,97.5,100,54.1,48.62,3898.81
3/3/21,65.37,-100,20,80,100,200,62.65,65.37,3819.72
2/24/21,84.99,0,62.5,87.5,100,200,48.64,84.99,3925.43
2/17/21,108.32,0,89.81,100,122.5,200,44.76,108.32,3931.33
2/10/21,110.28,80,100,100,100,200,29.44,110.28,3909.88
2/3/21,79.15,0,50,89.75,100,200,50.88,79.15,3830.17
1/27/21,83.51,-50,70,89.75,100,200,53.82,83.51,3750.77
1/20/21,112.93,75,100,100,119.75,200,36.46,112.93,3851.85
1/13/21,106.76,50,89.81,100,107.5,200,39.85,106.76,3809.84
1/6/21,94.51,0,80,100,101.25,200,39.11,94.51,3748.14
12/30/20,82.97,0,65.25,88.25,100,200,47.07,82.97,3732.04
12/23/20,89.11,0,80,100,100,200,44.19,89.11,3690.01
12/16/20,101.47,0,88.75,100,116.13,200,42.33,101.47,3701.17
12/9/20,106.11,0,89.88,100,100,200,40.98,106.11,3672.82
12/2/20,103.17,0,90,100,100,200,38.9,103.17,3669.01
11/25/20,106.74,0,86.5,100,130,200,44.54,106.74,3635.41
11/18/20,106.41,-12,93.19,100,107.5,200,44.54,106.41,3567.79
11/11/20,96.3,0,70,100,137.5,200,50.26,96.3,3572.66
11/4/20,69.2,0,35,75,100,200,49.7,69.2,3443.44
10/28/20,77.87,0,50,80,100,200,49.64,77.87,3271.03
10/21/20,87.07,-6,80,100,100,200,42.48,87.07,3435.56
10/14/20,102.93,0,92.38,100,100,200,41.56,102.93,3488.67
10/7/20,73.05,-100,57.5,81.25,100,200,63.41,73.05,3419.45
9/30/20,58.25,-100,0,65,100,200,62.62,58.25,3363
9/23/20,55.3,-200,0,62.5,100,200,82.7,55.3,3236.92
9/16/20,59.3,-100,0,65,100,200,71.73,59.3,3385.49
9/9/20,53.09,-100,0,63,98.75,200,60.47,53.09,3398.96
9/2/20,94.71,50,76,100,100,200,35.47,94.71,3580.84
8/26/20,106.56,50,90,100,100,200,38.44,106.56,3478.73
8/19/20,100.13,0,83.75,100,100,200,42.31,100.13,3374.85
8/12/20,101.2,50,87.25,100,100,200,29.1,101.2,3380.35
8/5/20,94.55,-5,87.5,100,100,200,49.4,94.55,3306.51
7/29/20,97.44,17,87.25,100,100,200,36.13,97.44,3218.44
7/22/20,97.88,50,75.75,100,100,200,33.91,97.88,3276.02
7/15/20,90.53,0,61,100,100,200,49.38,90.53,3226.56
7/8/20,85.09,0,52,87.5,100,200,50.49,85.09,3169.94
7/1/20,71.47,-50,55,80,100,200,52.64,71.47,3115.86
6/24/20,76.57,-15,50,75,100,200,43.91,76.57,3050.33
6/17/20,88.25,11,74.25,94,100,200,37.33,88.25,3113.49
6/10/20,77.48,-75,70,80,100,200,54.73,77.48,3190.14
6/3/20,91.6,-20,80.5,100,105.5,150,36.69,91.6,3122.87
5/27/20,81.65,0,50,76,100,200,43.17,81.65,3036.13
5/20/20,63.22,-50,50,65,83.75,200,51.08,63.22,2971.61
5/13/20,57.71,-9,20,50,76,200,49.3,57.71,2820
5/6/20,67.95,0,47.5,66,85,200,41.07,67.95,2848.42
4/29/20,78.55,-32,52.5,78,100,200,41.89,78.55,2939.51
4/22/20,45.34,-100,0,50,80,200,57.95,45.34,2799.31
4/15/20,28.71,-100,0,35,76,100,56.57,28.71,2783.36
4/8/20,26.74,-100,0,25,40,100,44.54,26.74,2749.98
4/1/20,23.67,-100,0,20.5,50,100,40.64,23.67,2470.5
3/25/20,25.87,-32,0,15,50,100,34.05,25.87,2475.56
3/18/20,10.65,-150,0,10,25,100,42.67,10.65,2398.1
3/11/20,16.59,-200,0,10,39,100,58.88,16.59,2741.38
3/4/20,29.03,-200,0,50,98.75,120,72.71,29.03,3130.12
2/26/20,65.03,-100,20,75,100,200,69.72,65.03,3116.39
2/19/20,87.91,0,74,99.38,100,200,35.15,87.91,3363.95
2/12/20,86.08,0,72.5,100,100,200,37.59,86.08,3379.45
2/5/20,62.49,-100,42.5,89.38,100,150,57.84,62.49,3334.69
1/29/20,77.07,-100,59,100,100,200,57.93,77.07,3273.4
1/22/20,93.75,39,90,100,100,150,21.13,93.75,3321.75
1/15/20,89.47,0,75,100,100,150,37.35,89.47,3289.29
1/8/20,94.16,0,90.75,100,100,200,40.66,94.16,3253.05
1/1/20,86.99,17,75.75,100,100,137,32.42,86.99,3230.78
12/25/19,97.44,0,99.69,100,100,140,29.16,97.44,3223.38
12/18/19,98.9,13,94.38,100,100,200,35.82,98.9,3191.14
12/11/19,78.71,-30,65,98.75,100,200,50.69,78.71,3141.63
12/4/19,77.8,-30,36,99,100,200,56.13,77.8,3112.76
11/27/19,76.66,0,60,90,100,150,41.28,76.66,3140.52
11/20/19,78.23,-30,70,100,100,200,52.05,78.23,3108.46
11/13/19,72.25,-30,52.5,85,100,200,49.68,72.25,3094.04
11/6/19,92.26,0,78.5,94.38,100,200,35.5,92.26,3076.78
10/30/19,88.94,-30,71.25,90,100,200,39.58,88.94,3046.77
10/23/19,65.67,-15,50,75,100,125,38.35,65.67,3004.52
10/16/19,57.08,-200,60,80,95.38,100,67.4,57.08,2989.69
10/9/19,57.32,-100,30,75,90,200,57.1,57.32,2919.4
10/2/19,57.39,-200,7.5,75,100,200,78.3,57.39,2940.25
9/25/19,64.85,-50,31.25,75,97.5,200,53.22,64.85,2966.6
9/18/19,77.09,-50,42.5,90,100,200,62.04,77.09,3006.73
9/11/19,75.76,-50,44.5,80,100,200,58.2,75.76,3000.93
9/4/19,56.15,-100,50,70,93.05,134,53.29,56.15,2937.78
8/28/19,59.99,-100,37.5,70,100,200,66.01,59.99,2887.94
8/21/19,70.18,-100,61,82.5,100,200,60.34,70.18,2900.51
8/14/19,58.08,-50,0,80,100,134,49.29,58.08,2840.6
8/7/19,56.59,-100,0,80,100,200,61.58,56.59,2883.98
7/31/19,91.41,0,85,100,100,200,41.31,91.41,2980.38
7/24/19,95.75,-20,90,100,100,200,37.93,95.75,3005.47
7/17/19,81.85,-100,80,98.75,100,200,53.98,81.85,3004.04
7/10/19,87.34,0,68.75,95,100,200,35.63,87.34,2979.63
7/3/19,79.36,-30,68.75,92.5,100,150,37.46,79.36,2973.01
6/26/19,72.28,-100,54.75,90,100,200,56.56,72.28,2913.78
6/19/19,74.91,0,64.5,77.5,99.06,100,25.39,74.91,2926.46
6/12/19,74.26,-30,52.5,81,99.69,150,36.67,74.26,2879.84
6/5/19,54.99,-150,50,68,92.5,134,57.55,54.99,2826.15
5/29/19,59.69,-200,46.5,75,100,200,76.66,59.69,2802.39
5/22/19,70.07,-50,64.25,80,99.69,100,38.76,70.07,2856.27
5/15/19,72.82,-100,64,87.5,100,200,54.45,72.82,2850.96
5/8/19,82.02,-150,89,95,100,200,63.69,82.02,2879.42
5/1/19,89.8,-30,72.5,90,100,200,43.11,89.8,2923.73
