Date,WEI,WEI as of 7/29/2021,WEI as of 7/28/2020
01/05/2008,1.4,1.42,1.41
01/12/2008,1.43,1.46,1.45
01/19/2008,1.38,1.4,1.4
01/26/2008,0.95,0.96,0.95
02/02/2008,0.71,0.73,0.72
02/09/2008,0.77,0.78,0.77
02/16/2008,1.16,1.18,1.17
02/23/2008,0.89,0.91,0.9
03/01/2008,0.93,0.95,0.94
03/08/2008,0.51,0.52,0.51
03/15/2008,0.65,0.66,0.65
03/22/2008,0.72,0.73,0.72
03/29/2008,0.95,0.96,0.95
04/05/2008,1.04,1.06,1.05
04/12/2008,0.83,0.85,0.84
04/19/2008,0.97,0.99,0.98
04/26/2008,0.45,0.46,0.46
05/03/2008,0.47,0.48,0.47
05/10/2008,0.51,0.52,0.51
05/17/2008,0.44,0.45,0.44
05/24/2008,0.4,0.41,0.4
05/31/2008,0.4,0.41,0.4
06/07/2008,0.5,0.51,0.5
06/14/2008,0.33,0.34,0.33
06/21/2008,0.13,0.14,0.13
06/28/2008,0.5,0.51,0.5
07/05/2008,0.85,0.87,0.86
07/12/2008,0.29,0.3,0.29
07/19/2008,0.1,0.11,0.1
07/26/2008,0.15,0.16,0.15
08/02/2008,0.24,0.25,0.24
08/09/2008,0.08,0.09,0.08
08/16/2008,-0.04,-0.03,-0.04
08/23/2008,0,0.01,0
08/30/2008,0.06,0.06,0.05
09/06/2008,-0.04,-0.03,-0.04
09/13/2008,-0.38,-0.38,-0.39
09/20/2008,-0.75,-0.75,-0.76
09/27/2008,-0.86,-0.86,-0.88
10/04/2008,-0.88,-0.88,-0.89
10/11/2008,-0.97,-0.97,-0.98
10/18/2008,-0.93,-0.93,-0.95
10/25/2008,-1,-1.01,-1.02
11/01/2008,-1.09,-1.09,-1.1
11/08/2008,-1.68,-1.69,-1.7
11/15/2008,-2.11,-2.13,-2.14
11/22/2008,-1.25,-1.26,-1.27
11/29/2008,-2.54,-2.56,-2.58
12/06/2008,-2.53,-2.55,-2.57
12/13/2008,-2.39,-2.41,-2.42
12/20/2008,-2.94,-2.97,-2.98
12/27/2008,-2.83,-2.86,-2.87
01/03/2009,-3.14,-3.16,-3.18
01/10/2009,-3.25,-3.28,-3.29
01/17/2009,-3.27,-3.3,-3.32
01/24/2009,-2.93,-2.95,-2.97
01/31/2009,-3.26,-3.29,-3.31
02/07/2009,-3.22,-3.25,-3.27
02/14/2009,-3.58,-3.61,-3.63
02/21/2009,-3.68,-3.71,-3.72
02/28/2009,-3.9,-3.93,-3.95
03/07/2009,-3.54,-3.57,-3.59
03/14/2009,-3.48,-3.51,-3.52
03/21/2009,-3.21,-3.23,-3.25
03/28/2009,-3.59,-3.62,-3.64
04/04/2009,-3.38,-3.4,-3.42
04/11/2009,-3.41,-3.44,-3.45
04/18/2009,-3.71,-3.74,-3.76
04/25/2009,-3.39,-3.42,-3.44
05/02/2009,-3.34,-3.37,-3.38
05/09/2009,-3.51,-3.54,-3.56
05/16/2009,-3.43,-3.45,-3.47
05/23/2009,-3.32,-3.34,-3.36
05/30/2009,-3.46,-3.49,-3.5
06/06/2009,-3.72,-3.76,-3.77
06/13/2009,-3.66,-3.69,-3.71
06/20/2009,-3.47,-3.5,-3.52
06/27/2009,-3.66,-3.69,-3.7
07/04/2009,-3.26,-3.28,-3.3
07/11/2009,-3.53,-3.56,-3.58
07/18/2009,-3.34,-3.37,-3.38
07/25/2009,-3.38,-3.41,-3.43
08/01/2009,-3.08,-3.11,-3.12
08/08/2009,-3.02,-3.05,-3.06
08/15/2009,-2.72,-2.75,-2.76
08/22/2009,-2.64,-2.66,-2.68
08/29/2009,-2.56,-2.58,-2.59
09/05/2009,-2.07,-2.08,-2.09
09/12/2009,-2.24,-2.26,-2.27
09/19/2009,-1.67,-1.68,-1.69
09/26/2009,-1.58,-1.59,-1.6
10/03/2009,-1.31,-1.32,-1.33
10/10/2009,-1.05,-1.05,-1.06
10/17/2009,-0.94,-0.95,-0.96
10/24/2009,-0.72,-0.72,-0.73
10/31/2009,-0.4,-0.4,-0.41
11/07/2009,-0.04,-0.04,-0.05
11/14/2009,0.43,0.44,0.43
11/21/2009,0.77,0.79,0.78
11/28/2009,1.29,1.31,1.3
12/05/2009,1.02,1.04,1.03
12/12/2009,1.19,1.21,1.2
12/19/2009,2.1,2.13,2.12
12/26/2009,2.33,2.37,2.36
01/02/2010,1.81,1.84,1.83
01/09/2010,1.78,1.8,1.79
01/16/2010,1.93,1.95,1.95
01/23/2010,1.86,1.88,1.87
01/30/2010,2.22,2.25,2.25
02/06/2010,2.55,2.58,2.58
02/13/2010,2.52,2.56,2.55
02/20/2010,3.09,3.13,3.12
02/27/2010,3.36,3.4,3.39
03/06/2010,3.48,3.52,3.52
03/13/2010,3.46,3.5,3.5
03/20/2010,3.4,3.44,3.44
03/27/2010,3.91,3.96,3.96
04/03/2010,3.65,3.69,3.69
04/10/2010,3.66,3.7,3.7
04/17/2010,3.82,3.87,3.86
04/24/2010,3.87,3.92,3.92
05/01/2010,4.09,4.14,4.14
05/08/2010,4.27,4.32,4.31
05/15/2010,4.12,4.17,4.17
05/22/2010,3.82,3.87,3.87
05/29/2010,4.57,4.63,4.62
06/05/2010,4.08,4.13,4.13
06/12/2010,3.99,4.04,4.04
06/19/2010,4.15,4.2,4.2
06/26/2010,4.06,4.12,4.11
07/03/2010,4.42,4.47,4.47
07/10/2010,3.57,3.62,3.61
07/17/2010,3.68,3.72,3.72
