"Date","US Institutional",,"US Individual"
,"Index Value","Standard Error","Index Value","Standard Error"
"Aug 2021","66.06","4.54","71.52","3.59"
"Jul 2021","69.09","4.41","69.28","3.73"
"Jun 2021","66.67","4.47","63.58","3.92"
"May 2021","63.00","4.83","62.76","4.01"
"Apr 2021","63.04","5.03","65.38","4.17"
"Mar 2021","66.67","4.89","62.93","4.48"
"Feb 2021","68.92","5.38","63.72","4.52"
"Jan 2021","64.00","5.54","67.16","4.06"
"Dec 2020","62.34","5.52","65.15","4.15"
"Nov 2020","65.43","5.28","63.64","4.02"
"Oct 2020","69.05","5.04","61.22","4.02"
"Sep 2020","69.51","5.08","62.33","4.01"
"Aug 2020","68.29","5.14","60.14","4.17"
"Jul 2020","67.42","4.97","58.21","4.26"
"Jun 2020","66.99","4.63","62.96","4.16"
"May 2020","64.22","4.59","63.36","4.21"
"Apr 2020","65.32","4.27","65.99","3.91"
"Mar 2020","62.07","4.51","65.41","4.12"
"Feb 2020","64.75","4.33","66.91","3.99"
"Jan 2020","63.33","4.40","66.43","3.99"
"Dec 2019","63.06","4.58","65.15","4.15"
"Nov 2019","66.06","4.54","63.85","4.21"
"Oct 2019","63.27","4.87","61.61","4.60"
"Sep 2019","64.00","4.80","60.16","4.33"
"Aug 2019","62.86","4.72","59.86","4.11"
"Jul 2019","63.27","4.87","59.40","4.26"
"Jun 2019","65.00","4.35","57.89","3.78"
"May 2019","59.84","4.44","58.92","3.62"
"Apr 2019","61.21","4.52","57.07","3.58"
"Mar 2019","57.14","4.41","57.73","3.55"
"Feb 2019","56.76","4.70","55.63","3.93"
"Jan 2019","57.85","4.49","54.14","3.98"
"Dec 2018","55.67","5.04","56.00","4.44"
"Nov 2018","65.31","4.81","57.50","4.51"
"Oct 2018","62.96","4.65","64.91","4.47"
"Sep 2018","70.63","4.06","67.42","4.08"
"Aug 2018","67.81","3.87","67.07","3.64"
"Jul 2018","68.42","4.03","66.67","3.46"
"Jun 2018","70.95","3.73","67.34","3.32"
"May 2018","68.92","3.80","65.05","3.32"
"Apr 2018","66.89","3.87","61.35","3.38"
"Mar 2018","64.04","4.49","57.89","3.78"
"Feb 2018","66.36","4.57","54.60","3.90"
"Jan 2018","66.94","4.28","56.95","4.03"
"Dec 2017","63.55","4.65","54.36","4.08"
"Nov 2017","65.29","4.33","57.97","4.20"
"Oct 2017","65.87","4.22","58.45","4.14"
"Sep 2017","64.75","4.05","58.75","3.89"
"Aug 2017","62.86","4.08","58.93","3.80"
"Jul 2017","62.82","3.87","59.14","3.60"
"Jun 2017","59.66","3.70","58.29","3.73"
"May 2017","56.60","3.93","55.08","3.64"
"Apr 2017","55.17","4.13","54.74","3.61"
"Mar 2017","56.46","4.09","55.50","3.60"
"Feb 2017","60.69","4.06","55.68","3.74"
"Jan 2017","58.82","4.51","51.97","4.05"
"Dec 2016","60.71","5.33","49.65","4.21"
"Nov 2016","62.50","4.94","52.53","3.97"
"Oct 2016","68.52","4.47","53.66","3.89"
"Sep 2016","66.67","4.54","53.41","3.76"
"Aug 2016","62.83","4.55","53.37","3.74"
"Jul 2016","62.99","4.28","55.28","3.52"
"Jun 2016","63.95","3.66","56.65","3.25"
"May 2016","64.71","3.86","56.68","3.62"
"Apr 2016","61.64","4.02","55.23","3.79"
"Mar 2016","63.16","4.18","53.90","4.20"
"Feb 2016","65.44","4.08","59.18","4.05"
"Jan 2016","64.52","4.30","60.54","4.03"
"Dec 2015","63.64","4.59","64.62","4.19"
"Nov 2015","65.87","4.22","65.85","3.70"
"Oct 2015","67.33","3.83","68.11","3.43"
"Sep 2015","67.11","3.85","69.84","3.34"
"Aug 2015","65.71","3.59","67.53","3.36"
"Jul 2015","66.67","3.46","69.12","3.23"
"Jun 2015","68.75","3.66","69.35","3.38"
"May 2015","62.58","3.79","68.62","3.38"
"Apr 2015","59.72","4.09","65.82","3.39"
"Mar 2015","59.03","4.10","64.89","3.48"
"Feb 2015","57.41","4.76","62.37","3.55"
"Jan 2015","56.88","4.74","58.97","3.94"
"Dec 2014","54.69","4.40","57.56","3.77"
"Nov 2014","55.37","4.52","53.25","3.84"
"Oct 2014","54.24","4.59","55.63","4.17"
"Sep 2014","54.61","4.04","54.76","3.84"
"Aug 2014","53.89","3.72","57.07","3.52"
"Jul 2014","52.53","3.97","57.14","3.67"
"Jun 2014","52.83","3.96","58.38","3.51"
"May 2014","55.70","3.95","61.20","3.60"
"Apr 2014","60.36","3.76","59.69","3.55"
