Year,balance_total,balance_goodsBOP,balance_services,exports_total,exports_goodsBOP,exports_services,imports_total,imports_goodsBOP,imports_services
1960,3508.0,4892.0,-1385.0,25939.0,19650.0,6289.0,22433.0,14758.0,7675.0
1961,4194.0,5571.0,-1377.0,26403.0,20108.0,6295.0,22208.0,14537.0,7671.0
1962,3371.0,4521.0,-1151.0,27722.0,20781.0,6941.0,24352.0,16260.0,8092.0
1963,4210.0,5224.0,-1014.0,29620.0,22272.0,7348.0,25411.0,17048.0,8363.0
1964,6022.0,6801.0,-780.0,33340.0,25501.0,7839.0,27319.0,18700.0,8619.0
1965,4664.0,4951.0,-287.0,35285.0,26461.0,8824.0,30621.0,21510.0,9111.0
1966,2939.0,3817.0,-878.0,38926.0,29310.0,9616.0,35987.0,25493.0,10494.0
1967,2604.0,3800.0,-1196.0,41333.0,30666.0,10667.0,38729.0,26866.0,11863.0
1968,250.0,635.0,-385.0,45544.0,33626.0,11918.0,45292.0,32991.0,12301.0
1969,90.0,607.0,-517.0,49220.0,36414.0,12806.0,49130.0,35807.0,13323.0
1970,2255.0,2603.0,-348.0,56640.0,42469.0,14171.0,54385.0,39866.0,14519.0
1971,-1301.0,-2260.0,959.0,59677.0,43319.0,16358.0,60980.0,45579.0,15401.0
1972,-5443.0,-6416.0,973.0,67223.0,49381.0,17842.0,72664.0,55797.0,16867.0
1973,1900.0,911.0,989.0,91242.0,71410.0,19832.0,89342.0,70499.0,18843.0
1974,-4293.0,-5505.0,1212.0,120897.0,98306.0,22591.0,125189.0,103811.0,21378.0
1975,12403.0,8903.0,3500.0,132585.0,107088.0,25497.0,120181.0,98185.0,21996.0
1976,-6082.0,-9483.0,3402.0,142716.0,114745.0,27971.0,148798.0,124228.0,24570.0
1977,-27247.0,-31091.0,3845.0,152302.0,120816.0,31486.0,179547.0,151907.0,27640.0
1978,-29763.0,-33927.0,4164.0,178428.0,142075.0,36353.0,208191.0,176002.0,32189.0
1979,-24566.0,-27568.0,3003.0,224132.0,184439.0,39693.0,248696.0,212007.0,36689.0
1980,-19407.0,-25500.0,6093.0,271835.0,224250.0,47585.0,291242.0,249750.0,41492.0
1981,-16172.0,-28023.0,11851.0,294399.0,237044.0,57355.0,310570.0,265067.0,45503.0
1982,-24156.0,-36485.0,12330.0,275235.0,211157.0,64078.0,299392.0,247642.0,51750.0
1983,-57767.0,-67102.0,9335.0,266106.0,201799.0,64307.0,323874.0,268901.0,54973.0
1984,-109074.0,-112492.0,3418.0,291094.0,219926.0,71168.0,400166.0,332418.0,67748.0
1985,-121879.0,-122173.0,294.0,289071.0,215915.0,73156.0,410951.0,338088.0,72863.0
1986,-138539.0,-145081.0,6543.0,310034.0,223344.0,86690.0,448572.0,368425.0,80147.0
1987,-151683.0,-159557.0,7874.0,348869.0,250208.0,98661.0,500553.0,409765.0,90788.0
1988,-114566.0,-126959.0,12394.0,431150.0,320230.0,110920.0,545714.0,447189.0,98525.0
1989,-93142.0,-117749.0,24607.0,487003.0,359916.0,127087.0,580145.0,477665.0,102480.0
1990,-80865.0,-111037.0,30173.0,535234.0,387401.0,147833.0,616098.0,498438.0,117660.0
1991,-31136.0,-76937.0,45802.0,578343.0,414083.0,164260.0,609479.0,491020.0,118459.0
1992,-39212.0,-96897.0,57685.0,616882.0,439631.0,177251.0,656094.0,536528.0,119566.0
1993,-70311.0,-132451.0,62141.0,642863.0,456943.0,185920.0,713174.0,589394.0,123780.0
1994,-98493.0,-165831.0,67338.0,703254.0,502859.0,200395.0,801747.0,668690.0,133057.0
