Date,BCI,BCIp,BCIg,USRECD
1967-02-09,100.0,100.0,0.0,0
1967-02-16,100.0,99.5,0.0,0
1967-02-23,99.6,93.1,0.0,0
1967-03-02,99.8,96.4,0.0,0
1967-03-09,99.9,98.7,0.0,0
1967-03-16,99.7,94.6,0.0,0
1967-03-23,99.9,98.4,0.0,0
1967-03-30,99.9,97.6,0.0,0
1967-04-06,99.2,85.8,0.0,0
1967-04-13,98.5,75.1,0.0,0
1967-04-20,98.9,82.2,0.0,0
1967-04-27,99.8,96.6,0.0,0
1967-05-04,100.4,100.0,0.0,0
1967-05-11,100.5,100.0,0.0,0
1967-05-18,100.1,93.4,0.0,0
1967-05-25,99.8,88.3,0.0,0
1967-06-01,100.2,95.6,0.0,0
1967-06-08,100.6,100.0,0.0,0
1967-06-15,101.4,100.0,0.0,0
1967-06-22,101.8,100.0,0.0,0
1967-06-29,102.0,100.0,0.0,0
1967-07-06,102.3,100.0,0.0,0
1967-07-13,103.1,100.0,0.0,0
1967-07-20,103.2,100.0,0.0,0
1967-07-27,103.2,99.8,0.0,0
1967-08-03,103.4,100.0,0.0,0
1967-08-10,103.4,99.9,0.0,0
1967-08-17,103.4,100.0,0.0,0
1967-08-24,103.6,100.0,0.0,0
1967-08-31,103.5,98.0,0.0,0
1967-09-07,104.0,100.0,0.0,0
1967-09-14,104.3,100.0,0.0,0
1967-09-21,104.9,100.0,0.0,0
1967-09-28,104.9,100.0,0.0,0
1967-10-05,104.7,96.7,0.0,0
1967-10-12,104.9,99.7,0.0,0
1967-10-19,104.5,93.0,0.0,0
1967-10-26,104.5,93.1,0.0,0
1967-11-02,104.6,94.3,0.0,0
1967-11-09,104.2,87.9,0.0,0
1967-11-16,104.1,87.5,0.0,0
1967-11-23,104.7,97.2,0.0,0
1967-11-30,106.1,100.0,0.0,0
1967-12-07,106.7,100.0,0.0,0
1967-12-14,107.3,100.0,0.0,0
1967-12-21,107.4,100.0,0.0,0
1967-12-28,106.6,87.4,0.0,0
1968-01-04,106.2,81.2,0.0,0
1968-01-11,106.3,82.3,0.0,0
1968-01-18,106.4,83.7,0.0,0
1968-01-25,105.6,71.7,0.0,0
1968-02-01,105.0,62.7,12.3,0
1968-02-08,104.9,60.5,11.3,0
1968-02-15,104.2,49.2,10.1,0
1968-02-22,104.2,49.3,9.2,0
1968-02-29,104.3,51.9,8.7,0
1968-03-07,103.6,40.9,7.9,0
1968-03-14,104.1,48.7,7.7,0
1968-03-21,104.1,48.5,7.5,0
1968-03-28,104.7,57.4,7.5,0
1968-04-04,105.9,76.7,8.5,0
1968-04-11,107.2,96.9,9.8,0
1968-04-18,108.5,100.0,11.7,0
1968-04-25,108.3,97.3,13.1,0
1968-05-02,108.7,100.0,14.2,0
1968-05-09,108.9,100.0,14.6,0
1968-05-16,108.8,98.3,14.4,0
1968-05-23,108.2,90.3,14.1,0
