date;STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED United States
1993 JAN;7.03
1993 FEB;7.01
1993 MAR;7.00
1993 APR;7.01
1993 MAY;7.01
1993 JUN;7.00
1993 JUL;6.09
1993 AUG;6.08
1993 SEP;6.07
1993 OCT;6.08
1993 NOV;6.06
1993 DEC;6.05
1994 JAN;6.06
1994 FEB;6.06
1994 MAR;6.05
1994 APR;6.04
1994 MAY;6.01
1994 JUN;6.01
1994 JUL;6.01
1994 AUG;6.00
1994 SEP;5.09
1994 OCT;5.08
1994 NOV;5.06
1994 DEC;5.05
1995 JAN;5.06
1995 FEB;5.04
1995 MAR;5.04
1995 APR;5.08
1995 MAY;5.06
1995 JUN;5.06
1995 JUL;5.07
1995 AUG;5.07
1995 SEP;5.06
1995 OCT;5.05
1995 NOV;5.06
1995 DEC;5.06
1996 JAN;5.06
1996 FEB;5.05
1996 MAR;5.05
1996 APR;5.06
1996 MAY;5.06
1996 JUN;5.03
1996 JUL;5.05
1996 AUG;5.01
1996 SEP;5.02
1996 OCT;5.02
1996 NOV;5.04
1996 DEC;5.04
1997 JAN;5.03
1997 FEB;5.02
1997 MAR;5.02
1997 APR;5.01
1997 MAY;4.09
1997 JUN;5.00
1997 JUL;4.09
1997 AUG;4.08
1997 SEP;4.09
1997 OCT;4.07
1997 NOV;4.06
1997 DEC;4.07
1998 JAN;4.06
1998 FEB;4.06
1998 MAR;4.07
1998 APR;4.03
1998 MAY;4.04
1998 JUN;4.05
1998 JUL;4.05
1998 AUG;4.05
1998 SEP;4.06
1998 OCT;4.05
1998 NOV;4.04
1998 DEC;4.04
1999 JAN;4.03
1999 FEB;4.04
1999 MAR;4.02
1999 APR;4.03
1999 MAY;4.02
1999 JUN;4.03
1999 JUL;4.03
1999 AUG;4.02
1999 SEP;4.02
1999 OCT;4.01
1999 NOV;4.01
1999 DEC;4.00
2000 JAN;4.00
2000 FEB;4.01
2000 MAR;4.00
2000 APR;3.08
2000 MAY;4.00
2000 JUN;4.00
2000 JUL;4.00
2000 AUG;4.01
2000 SEP;3.09
2000 OCT;3.09
2000 NOV;3.09
2000 DEC;3.09
2001 JAN;4.02
2001 FEB;4.02
2001 MAR;4.03
2001 APR;4.04
2001 MAY;4.03
2001 JUN;4.05
2001 JUL;4.06
2001 AUG;4.09
2001 SEP;5.00
2001 OCT;5.03
2001 NOV;5.05
2001 DEC;5.07
