Date,BCI,BCIp,BCIg
09/02/1967,100.0,100.0,0.0
16/02/1967,100.0,99.5,0.0
23/02/1967,99.6,93.1,0.0
02/03/1967,99.8,96.4,0.0
09/03/1967,99.9,98.7,0.0
16/03/1967,99.7,94.6,0.0
23/03/1967,99.9,98.4,0.0
30/03/1967,99.9,97.6,0.0
06/04/1967,99.2,85.8,0.0
13/04/1967,98.5,75.1,0.0
20/04/1967,98.9,82.2,0.0
27/04/1967,99.8,96.6,0.0
04/05/1967,100.4,100.0,0.0
11/05/1967,100.5,100.0,0.0
18/05/1967,100.1,93.4,0.0
25/05/1967,99.8,88.3,0.0
01/06/1967,100.2,95.6,0.0
08/06/1967,100.6,100.0,0.0
15/06/1967,101.4,100.0,0.0
22/06/1967,101.8,100.0,0.0
29/06/1967,102.0,100.0,0.0
06/07/1967,102.3,100.0,0.0
13/07/1967,103.1,100.0,0.0
20/07/1967,103.2,100.0,0.0
27/07/1967,103.2,99.8,0.0
03/08/1967,103.4,100.0,0.0
10/08/1967,103.4,99.9,0.0
17/08/1967,103.4,100.0,0.0
24/08/1967,103.6,100.0,0.0
31/08/1967,103.5,98.0,0.0
07/09/1967,104.0,100.0,0.0
14/09/1967,104.3,100.0,0.0
21/09/1967,104.9,100.0,0.0
28/09/1967,104.9,100.0,0.0
05/10/1967,104.7,96.7,0.0
12/10/1967,104.9,99.7,0.0
19/10/1967,104.5,93.0,0.0
26/10/1967,104.5,93.1,0.0
02/11/1967,104.6,94.3,0.0
09/11/1967,104.2,87.9,0.0
16/11/1967,104.1,87.5,0.0
23/11/1967,104.7,97.2,0.0
30/11/1967,106.1,100.0,0.0
07/12/1967,106.7,100.0,0.0
14/12/1967,107.3,100.0,0.0
21/12/1967,107.4,100.0,0.0
28/12/1967,106.6,87.4,0.0
04/01/1968,106.2,81.2,0.0
11/01/1968,106.3,82.3,0.0
18/01/1968,106.4,83.7,0.0
25/01/1968,105.6,71.7,0.0
01/02/1968,105.0,62.7,12.3
08/02/1968,104.9,60.5,11.3
15/02/1968,104.2,49.2,10.1
22/02/1968,104.2,49.3,9.2
29/02/1968,104.3,51.9,8.7
07/03/1968,103.6,40.9,7.9
14/03/1968,104.1,48.7,7.7
21/03/1968,104.1,48.5,7.5
28/03/1968,104.7,57.4,7.5
04/04/1968,105.9,76.7,8.5
11/04/1968,107.2,96.9,9.8
18/04/1968,108.5,100.0,11.7
25/04/1968,108.3,97.3,13.1
02/05/1968,108.7,100.0,14.2
09/05/1968,108.9,100.0,14.6
16/05/1968,108.8,98.3,14.4
