date;STANDARDISED ILO UNEMPLOYMENT RATES SEASONALLY ADJUSTED United States
1993 Q1;7.01
1993 Q2;7.01
1993 Q3;6.08
1993 Q4;6.06
1994 Q1;6.06
1994 Q2;6.02
1994 Q3;6.00
1994 Q4;5.06
1995 Q1;5.05
1995 Q2;5.07
1995 Q3;5.07
1995 Q4;5.06
1996 Q1;5.05
1996 Q2;5.05
1996 Q3;5.03
1996 Q4;5.03
1997 Q1;5.02
1997 Q2;5.00
1997 Q3;4.09
1997 Q4;4.07
1998 Q1;4.06
1998 Q2;4.04
1998 Q3;4.05
1998 Q4;4.04
1999 Q1;4.03
1999 Q2;4.03
1999 Q3;4.02
1999 Q4;4.01
2000 Q1;4.00
2000 Q2;3.09
2000 Q3;4.00
2000 Q4;3.09
2001 Q1;4.02
2001 Q2;4.04
2001 Q3;4.08
2001 Q4;5.05
2002 Q1;5.07
2002 Q2;5.08
2002 Q3;5.07
2002 Q4;5.09
2003 Q1;5.09
2003 Q2;6.01
2003 Q3;6.01
2003 Q4;5.08
2004 Q1;5.07
2004 Q2;5.06
2004 Q3;5.04
2004 Q4;5.04
2005 Q1;5.03
2005 Q2;5.01
2005 Q3;5.00
2005 Q4;5.00
2006 Q1;4.07
2006 Q2;4.06
2006 Q3;4.06
2006 Q4;4.04
2007 Q1;4.05
2007 Q2;4.05
2007 Q3;4.07
2007 Q4;4.08
2008 Q1;5.00
2008 Q2;5.03
2008 Q3;6.00
2008 Q4;6.09
2009 Q1;8.03
2009 Q2;9.03
2009 Q3;9.06
2009 Q4;9.09
2010 Q1;9.08
2010 Q2;9.06
2010 Q3;9.05
2010 Q4;9.05
2011 Q1;9.00
2011 Q2;9.01
2011 Q3;9.00
2011 Q4;8.06
2012 Q1;8.03
2012 Q2;8.02
2012 Q3;8.00
2012 Q4;7.08
2013 Q1;7.07
2013 Q2;7.05
2013 Q3;7.02
2013 Q4;6.09
2014 Q1;6.07
2014 Q2;6.02
2014 Q3;6.01
2014 Q4;5.07
2015 Q1;5.05
2015 Q2;5.04
2015 Q3;5.01
2015 Q4;5.00
2016 Q1;4.09
2016 Q2;4.09
2016 Q3;4.09
2016 Q4;4.08
2017 Q1;4.06
2017 Q2;4.04
2017 Q3;4.03
2017 Q4;4.01
2018 Q1;4.01
2018 Q2;3.09
2018 Q3;3.08
2018 Q4;3.08
2019 Q1;3.09
2019 Q2;3.06
2019 Q3;3.06
2019 Q4;3.05
2020 Q1;3.08
2020 Q2;13.00
2020 Q3;8.08
