year,real_income
1974,25326
1975,24846
1976,24896
1977,25084
1978,24877
1979,24193
1980,23826
1981,23382
1982,23629
1983,24091
1984,24788
1985,25324
1986,26105
1987,26454
1988,27287
1989,28006
1990,27705
1991,27299
1992,27025
1993,27289
1994,27625
1995,28383
1996,28985
1997,30257
1998,31758
1999,32079
2000,32431
2001,32146
2002,31913
2003,31986
2004,31889
2005,32320
2006,33197
2007,33321
2008,31953
2009,31606
2010,31142
2011,30667
2012,30484
2013,30804
2014,31473
2015,33040
2016,33545
2017,33750
2018,34745
2019,36426
2020,35805
